央视,#genre#
CCTV-1,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV-5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-6,http://cfss.cc/api/ysp/cctv6.m3u8
CCTV-8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

港台,#genre#
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰咨询,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰咨询,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8
